event,timestamp_ns
pattern_start,1757933653456175727
fixation_start,1757933653776577405
fixation_end,1757933655777120980
fixation_start,1757933656105465326
fixation_end,1757933658105937700
fixation_start,1757933658454481066
fixation_end,1757933660454873591
fixation_start,1757933660797451577
fixation_end,1757933662797986087
fixation_start,1757933663128460648
fixation_end,1757933665128834854
fixation_start,1757933665462658232
fixation_end,1757933667463118967
fixation_start,1757933667814058190
fixation_end,1757933669815152334
fixation_start,1757933670153189631
fixation_end,1757933672153646544
fixation_start,1757933672500932508
fixation_end,1757933674501376989
fixation_start,1757933674834584343
fixation_end,1757933676834961227
pattern_end,1757933678835200846
