event,timestamp_ns
pattern_start,1757933626611933693
fixation_start,1757933626942375020
fixation_end,1757933628942822909
fixation_start,1757933629282688526
fixation_end,1757933631282960959
fixation_start,1757933631609015983
fixation_end,1757933633609769579
fixation_start,1757933633933404037
fixation_end,1757933635933681062
fixation_start,1757933636254184201
fixation_end,1757933638254520697
fixation_start,1757933638575591693
fixation_end,1757933640575893589
fixation_start,1757933640914624304
fixation_end,1757933642914913692
fixation_start,1757933643248871712
fixation_end,1757933645249197565
fixation_start,1757933645582305451
fixation_end,1757933647582592676
pattern_end,1757933649582836199
