event,timestamp_ns
pattern_start,1757933683220462599
fixation_start,1757933683556734242
fixation_end,1757933685557103296
fixation_start,1757933685927049569
fixation_end,1757933687927368268
fixation_start,1757933688253387486
fixation_end,1757933690254126245
fixation_start,1757933690588934354
fixation_end,1757933692589210341
fixation_start,1757933692921691952
fixation_end,1757933694921965023
fixation_start,1757933695286359009
fixation_end,1757933697288617182
fixation_start,1757933697615478403
fixation_end,1757933699615818861
fixation_start,1757933699953932288
fixation_end,1757933701954252435
fixation_start,1757933702282295729
fixation_end,1757933704282596928
fixation_start,1757933704621152789
fixation_end,1757933706621510935
pattern_end,1757933708621760719
